ticker,cik,metric,fy,form,fp,filed,value,unit,tag_used,source,carry_from_fy,accn,start,end
NVDA,0001045810,AccountsReceivableNetCurrent,2014,10-Q,Q1,2014-05-21,426357000,USD,AccountsReceivableNetCurrent,primary,,0001045810-14-000085,,2014-01-26
NVDA,0001045810,Revenues,2015,10-K,FY,2015-03-12,4280159000,USD,Revenues,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,NetIncomeLoss,2015,10-K,FY,2015-03-12,562536000,USD,NetIncomeLoss,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,EarningsPerShareBasic,2015,10-K,FY,2015-03-12,0.91,USD/shares,EarningsPerShareBasic,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,EarningsPerShareDiluted,2015,10-K,FY,2015-03-12,0.9,USD/shares,EarningsPerShareDiluted,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,OperatingIncomeLoss,2015,10-K,FY,2015-03-12,648239000,USD,OperatingIncomeLoss,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,GrossProfit,2015,10-K,FY,2015-03-12,2226343000,USD,GrossProfit,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,ResearchAndDevelopmentExpense,2015,10-K,FY,2015-03-12,1147282000,USD,ResearchAndDevelopmentExpense,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2015,10-K,FY,2015-03-12,430822000,USD,SellingGeneralAndAdministrativeExpense,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,Assets,2015,10-K,FY,2015-03-12,7250894000,USD,Assets,primary,,0001045810-15-000036,,2014-01-26
NVDA,0001045810,Liabilities,2015,10-K,FY,2016-03-17,2783000000,USD,Liabilities,carried,2016,0001045810-16-000205,,2015-01-25
NVDA,0001045810,StockholdersEquity,2015,10-K,FY,2015-03-12,4145724000,USD,StockholdersEquity,primary,,0001045810-15-000036,,2012-01-29
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2015,10-K,FY,2015-03-12,667876000,USD,CashAndCashEquivalentsAtCarryingValue,primary,,0001045810-15-000036,,2012-01-29
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2015,10-K,FY,2015-03-12,824172000,USD,NetCashProvidedByUsedInOperatingActivities,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,LongTermDebt,2015,10-K,FY,2015-03-12,1356375000,USD,LongTermDebt,primary,,0001045810-15-000036,,2014-01-26
NVDA,0001045810,CostOfRevenue,2015,10-K,FY,2015-03-12,2053816000,USD,CostOfRevenue,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,OperatingExpenses,2015,10-K,FY,2015-03-12,1578104000,USD,OperatingExpenses,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,IncomeTaxExpenseBenefit,2015,10-K,FY,2015-03-12,99503000,USD,IncomeTaxExpenseBenefit,primary,,0001045810-15-000036,2012-01-30,2013-01-27
NVDA,0001045810,AccountsReceivableNetCurrent,2015,10-K,FY,2015-03-12,426357000,USD,AccountsReceivableNetCurrent,primary,,0001045810-15-000036,,2014-01-26
NVDA,0001045810,Revenues,2015,10-Q,Q3,2014-11-19,2985944000,USD,Revenues,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,NetIncomeLoss,2015,10-Q,Q3,2014-11-19,293073000,USD,NetIncomeLoss,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,EarningsPerShareBasic,2015,10-Q,Q3,2014-11-19,0.49,USD/shares,EarningsPerShareBasic,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,EarningsPerShareDiluted,2015,10-Q,Q3,2014-11-19,0.49,USD/shares,EarningsPerShareDiluted,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,OperatingIncomeLoss,2015,10-Q,Q3,2014-11-19,329303000,USD,OperatingIncomeLoss,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,GrossProfit,2015,10-Q,Q3,2014-11-19,1648521000,USD,GrossProfit,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,ResearchAndDevelopmentExpense,2015,10-Q,Q3,2014-11-19,999193000,USD,ResearchAndDevelopmentExpense,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,SellingGeneralAndAdministrativeExpense,2015,10-Q,Q3,2014-11-19,320025000,USD,SellingGeneralAndAdministrativeExpense,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,Assets,2015,10-Q,Q3,2014-11-19,7250894000,USD,Assets,primary,,0001045810-14-000188,,2014-01-26
NVDA,0001045810,Liabilities,2015,10-Q,Q3,2016-11-22,2814000000,USD,Liabilities,carried,2017,0001045810-16-000353,,2016-01-31
NVDA,0001045810,StockholdersEquity,2015,10-Q,Q3,2014-11-19,4456398000,USD,StockholdersEquity,primary,,0001045810-14-000188,,2014-01-26
NVDA,0001045810,CashAndCashEquivalentsAtCarryingValue,2015,10-Q,Q3,2014-11-19,732786000,USD,CashAndCashEquivalentsAtCarryingValue,primary,,0001045810-14-000188,,2013-01-27
NVDA,0001045810,NetCashProvidedByUsedInOperatingActivities,2015,10-Q,Q3,2014-11-19,434434000,USD,NetCashProvidedByUsedInOperatingActivities,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,PaymentsToAcquirePropertyPlantAndEquipment,2015,10-Q,Q3,2014-11-19,188812000,USD,PaymentsToAcquirePropertyPlantAndEquipment,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,LongTermDebt,2015,10-Q,Q3,2014-11-19,1356375000,USD,LongTermDebt,primary,,0001045810-14-000188,,2014-01-26
NVDA,0001045810,CostOfRevenue,2015,10-Q,Q3,2014-11-19,1337423000,USD,CostOfRevenue,primary,,0001045810-14-000188,2013-01-28,2013-10-27
NVDA,0001045810,OperatingExpenses,2015,10-Q,Q3,2014-11-19,1319218000,USD,OperatingExpenses,primary,,0001045810-14-000188,2013-01-28,2013-10-27
