ticker,cik,fy,form,metric,tag_used,value,unit,filed,fp,start,end,source
NVDA,0001045810,2020,10-K,GrossProfit,GrossProfit,5822000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,149000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,Liabilities,Liabilities,3950000000.0,USD,2020-02-20,FY,,2019-01-27,primary
NVDA,0001045810,2020,10-K,LongTermDebt,LongTermDebt,1988000000.0,USD,2020-02-20,FY,,2019-01-27,primary
NVDA,0001045810,2020,10-K,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivities,3502000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,NetIncomeLoss,NetIncomeLoss,3047000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,OperatingExpenses,OperatingExpenses,2612000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,OperatingIncomeLoss,OperatingIncomeLoss,3210000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,ResearchAndDevelopmentExpense,ResearchAndDevelopmentExpense,1797000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,SellingGeneralAndAdministrativeExpense,SellingGeneralAndAdministrativeExpense,815000000.0,USD,2020-02-20,FY,2017-01-30,2018-01-28,primary
NVDA,0001045810,2020,10-K,StockholdersEquity,StockholdersEquity,5762000000.0,USD,2020-02-20,FY,,2017-01-29,primary
NVDA,0001045810,2020,10-Q,AccountsReceivableNetCurrent,AccountsReceivableNetCurrent,1657000000.0,USD,2020-08-19,Q2,,2020-01-26,primary
NVDA,0001045810,2020,10-Q,Assets,Assets,17315000000.0,USD,2020-08-19,Q2,,2020-01-26,primary
NVDA,0001045810,2020,10-Q,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsAtCarryingValue,10896000000.0,USD,2020-08-19,Q2,,2020-01-26,primary
